origin	destination	reason	MODO	HMV	RED	duration	distance	strata	age	gender	FEV	ID	
362 6 1 4 6.75 AM 90 6.4112 1 50 1 30.46298507 1 
6 362 6 2 19.25 PM 30 6.4112 1 50 1 32.75589793 1 
362 36 1 4 8.5 AM 60 4.478 1 40 2 32.75589793 2 
36 362 6 2 18.75 PM 30 4.478 1 40 2 32.75589793 2 
362 253 2 1 5.915 AM 10.2 0.8034 1 18 2 32.75589793 3 
253 362 6 1 12.333 MD 10 0.8034 1 18 2 32.75589793 3 
362 6 1 4 8.75 AM 30 6.4112 1 16 2 32.75589793 4 
6 362 6 4 18.25 PM 30 6.4112 1 16 2 31.11810303 4 
366 366 7 1 7.875 AM 15 0 1 32 2 32.75589793 146 
366 366 6 1 16.125 PM 15 0 1 32 2 32.75589793 146 
36 216 6 2 19.125 PM 45 4.9562 1 38 1 51.03515625 147 
364 12 1 2 8.25 AM 30 5.1707 2 42 1 71.02093945 5 
12 364 6 2 20.75 PM 30 5.1707 2 42 1 71.02093945 5 
364 339 1 2 13.083 MD 70 28.1706 2 20 2 71.02093945 6 
339 364 6 2 22.5 MN 60 28.1706 2 20 2 71.02093945 6 
364 353 2 1 11.25 MD 30 0.5703 2 18 2 71.02093945 7 
354 364 6 1 16.125 PM 15 0.4056 2 18 2 71.02093945 7 
216 312 1 4 19.5 PM 60 15.5356 2 30 1 41.84010417 8 
312 216 6 4 6.75 AM 90 15.5356 2 30 1 38.07449479 8 
216 216 2 1 11.083 MD 10 0 2 7 2 41.84010417 10 
216 216 6 1 16.915 PM 10.2 0 2 7 2 41.84010417 10 
216 216 2 1 11.083 MD 10 0 2 6 1 41.84010417 11 
216 216 6 1 16.915 PM 10.2 0 2 6 1 41.84010417 11 
216 15 1 2 20.17 PM 20 4.836 2 45 1 41.84 28 
15 216 6 2 9.17 AM 20 4.836 2 45 1 41.84 28 
216 262 7 1 6.63 AM 15 0.6986 2 52 2 41.84 29 
262 262 1 1 7.13 AM 15 0 2 52 2 41.84 29 
262 262 7 1 11.88 MD 15 0 2 52 2 41.84 29 
262 216 6 1 12.75 MD 30 0.6986 2 52 2 41.84 29 
216 215 2 1 6.63 AM 15 0.5328 2 12 1 41.84 30 
215 216 6 1 13.00 MD 60 0.5328 2 12 1 41.84 30 
