origin	destination	reason	MODO	HMV	RED	duration	distance	age	gender	FEV	ID	
362 6 1 4 6.75 AM 90 6.4112 50 1 30.46298507 130921 
6 362 6 2 19.25 PM 30 6.4112 50 1 32.75589793 130921 
362 36 1 4 8.5 AM 60 4.478 40 2 32.75589793 17617 
36 362 6 2 18.75 PM 30 4.478 40 2 32.75589793 17617 
362 253 2 1 5.915 AM 10.2 0.8034 18 2 32.75589793 14170 
253 362 6 1 12.333 MD 10 0.8034 18 2 32.75589793 14170 
362 6 1 4 8.75 AM 30 6.4112 16 2 32.75589793 107623 
6 362 6 4 18.25 PM 30 6.4112 16 2 31.11810303 107623 
366 366 7 1 7.875 AM 15 0 32 2 32.75589793 62693 
366 366 6 1 16.125 PM 15 0 32 2 32.75589793 62693 
36 216 6 2 19.125 PM 45 4.9562 38 1 51.03515625 75954 
216 36 1 2 5.625 AM 75 4.9562 38 1 51.03515625 75954 
36 216 6 2 19.125 PM 45 4.9562 38 1 51.03515625 75954 
312 216 6 4 17.875 PM 75 15.5356 39 2 55.42417969 119977 
216 312 1 4 6 AM 60 15.5356 39 2 61.2421875 119977 
312 216 6 4 17.875 PM 75 15.5356 39 2 55.42417969 119977 
359 216 6 1 17.875 PM 15 0.2507 9 2 51.03515625 83264 
216 359 4 1 11.083 MD 10 0.2507 9 2 51.03515625 83264 
359 216 6 1 17.875 PM 15 0.2507 9 2 51.03515625 83264 
366 151 1 2 7.5 AM 60 8.5562 27 2 29.48030814 97633 
151 366 6 2 16.5 PM 60 8.5562 27 2 32.75589793 97633 
366 366 2 1 6.85 AM 12 0 9 2 32.75589793 94062 
366 366 6 1 12.1 MD 12 0 9 2 32.75589793 94062 
366 366 2 1 6.875 AM 15 0 8 2 32.75589793 79360 
366 366 6 1 12.1 MD 12 0 8 2 32.75589793 79360 
366 60 1 2 6.38 AM 45 7.6341 38 1 32.76 56256 
60 366 6 2 17.33 PM 40 7.6341 38 1 32.76 56256 
366 366 2 1 7.71 AM 5 0 5 2 32.76 41494 
366 366 6 1 12.04 MD 5 0 5 2 32.76 41494 
366 104 1 3 7.585 AM 49.8 9.4275 29 1 32.75589793 109736 
104 366 6 3 18 PM 60 9.4275 29 1 68.78738565 109736 
366 267 1 2 7.832 AM 60.2 4.4046 21 2 32.75589793 136795 
267 366 6 2 17.292 PM 35 4.4046 21 2 32.75589793 136795 
365 18 3 2 8.50 AM 60 5.2679 42 1 32.76 122094 
18 365 6 2 12.63 MD 75 5.2679 42 1 32.76 122094 
365 76 1 4 6.5 AM 60 9.7382 24 1 30.46298507 47902 
76 365 6 4 14.5 MD 60 9.7382 24 1 32.75589793 47902 
365 1 5 4 5.333 AM 40 5.3619 18 1 32.75589793 53793 
1 365 6 4 11.165 MD 40.2 5.3619 18 1 32.75589793 53793 
365 221 2 2 6.75 AM 30 1.8209 8 1 32.75589793 75810 
221 365 6 2 12.25 MD 30 1.8209 8 1 32.75589793 75810 
365 79 4 4 8 AM 60 10.1926 79 1 32.75589793 64484 
79 365 6 4 12 MD 60 10.1926 79 1 32.75589793 64484 
215 335 1 4 5.67 AM 80 16.9439 40 1 41.51 25573 
335 215 6 4 18.75 PM 90 16.9439 40 1 45.08 25573 
215 215 2 1 6.04 AM 5 0 16 1 41.51 123354 
215 215 6 1 12.13 MD 5 0 16 1 41.51 123354 
215 215 2 1 12.38 MD 5 0 12 1 41.51 34149 
215 215 6 1 18.38 PM 5 0 12 1 41.51 34149 
365 18 1 2 7.88 AM 45 5.2679 60 1 32.76 121886 
18 365 6 2 17.67 PM 40 5.2679 60 1 32.76 121886 
365 18 1 2 7.88 AM 45 5.2679 50 2 32.76 48667 
18 365 6 2 17.67 PM 40 5.2679 50 2 32.76 48667 
365 18 1 2 7.88 AM 45 5.2679 18 1 32.76 24023 
18 365 6 2 17.67 PM 40 5.2679 18 1 32.76 24023 
365 241 4 2 9.5 AM 60 2.4615 67 1 32.75589793 132906 
241 365 6 2 12.5 MD 60 2.4615 67 1 32.75589793 132906 
166 164 1 1 8.083 AM 10 1.2015 34 2 55.36363636 70331 
164 166 5 1 11.83 MD 9.6 1.2015 34 2 55.36363636 70331 
166 164 1 1 15.083 MD 10 1.2015 34 2 55.36363636 70331 
164 166 6 1 18.083 PM 10 1.2015 34 2 55.36363636 70331 
166 27 1 3 6.875 AM 15 5.1657 30 1 33.21818182 89558 
27 166 6 3 19.625 PM 15 5.1657 30 1 55.36363636 89558 
166 163 2 1 12.293 MD 14.8 0.6652 12 2 55.36363636 37094 
163 166 6 1 18.625 PM 15 0.6652 12 2 55.36363636 37094 
166 18 3 2 7.125 AM 15 3.6594 56 2 55.36363636 108628 
18 166 6 2 8.54 AM 25.2 3.6594 56 2 55.36363636 108628 
166 163 2 1 12.292 MD 5 0.6652 13 2 55.36363636 22652 
163 166 6 1 18.542 PM 5 0.6652 13 2 55.36363636 22652 
166 18 3 2 14.167 MD 20 3.6594 50 2 55.36363636 147351 
18 166 6 2 15.04 MD 25.2 3.6594 50 2 55.36363636 147351 
166 1 7 2 11.875 MD 15 4.5317 48 2 55.36363636 27665 
1 166 6 2 22.875 MN 15 4.5317 48 2 55.36363636 27665 
166 166 1 1 7.708 AM 25 0 20 2 55.36363636 32047 
166 166 6 1 12.208 MD 25 0 20 2 55.36363636 32047 
166 166 1 1 13.708 MD 25 0 20 2 55.36363636 32047 
166 166 6 1 17.708 PM 25 0 20 2 55.36363636 32047 
166 232 1 2 6.75 AM 30 4.2925 43 1 55.36363636 138180 
232 166 6 2 18.417 PM 50 4.2925 43 1 49.82727273 138180 
166 410 1 3 5.5 AM 180 36.566 21 1 55.36363636 30349 
410 96 1 3 17 PM 120 40.9887 21 1 127.3363636 30349 
96 166 6 4 18.585 PM 49.8 8.4865 21 1 52.59545455 30349 
166 232 7 2 12.75 MD 30 4.2925 20 1 55.36363636 52310 
232 166 6 2 18.417 PM 50 4.2925 20 1 49.82727273 52310 
166 18 3 3 14.125 MD 15 3.6594 35 1 55.36363636 107245 
18 166 6 3 14.752 MD 9.8 3.6594 35 1 55.36363636 107245 
166 170 2 1 12.083 MD 10 0.6706 13 2 55.36363636 63272 
170 166 6 1 18.708 PM 25 0.6706 13 2 55.36363636 63272 
166 170 7 1 7.042 AM 5 0.6706 49 1 55.36363636 67782 
170 166 6 1 12.042 MD 5 0.6706 49 1 55.36363636 67782 
166 170 7 1 13.542 MD 5 0.6706 49 1 55.36363636 67782 
170 166 6 1 19.542 PM 5 0.6706 49 1 55.36363636 67782 
166 24 1 2 5.75 AM 30 4.5285 47 2 55.36363636 34661 
24 166 6 2 17.5 PM 60 4.5285 47 2 49.82727273 34661 
166 405 2 2 7.375 AM 45 4.6559 22 1 55.36363636 141261 
405 166 6 2 12.25 MD 30 4.6559 22 1 55.36363636 141261 
166 405 2 2 13.583 MD 40 4.6559 22 1 55.36363636 141261 
405 166 6 2 22.25 MN 30 4.6559 22 1 55.36363636 141261 
166 399 1 2 7.75 AM 30 4.4303 46 2 55.36363636 144074 
399 166 6 2 16.25 PM 30 4.4303 46 2 55.36363636 144074 
166 170 2 1 6.75 AM 30 0.6706 9 1 55.36363636 36767 
170 166 6 1 12.25 MD 30 0.6706 9 1 55.36363636 36767 
166 156 1 2 7.17 AM 20 3.0656 32 2 55.36 143354 
156 166 6 2 18.17 PM 20 3.0656 32 2 55.36 143354 
166 170 2 1 11.83 MD 20 0.6706 11 2 55.36 132303 
170 166 6 1 17.17 PM 20 0.6706 11 2 55.36 132303 
365 337 1 4 21 PM 60 19.955 28 1 32.75589793 12344 
337 365 6 4 7 AM 60 19.955 28 1 29.80786712 12344 
146 262 1 3 7.25 AM 30 9.1619 48 1 56.07 74046 
262 12 1 3 16.25 PM 30 6.3874 48 1 46.72 74046 
12 146 6 3 21.25 PM 30 5.5356 48 1 46.72 74046 
146 151 1 2 6.29 AM 15 1.292 40 2 46.72 91626 
151 146 6 2 12.67 MD 20 1.292 40 2 46.72 91626 
215 24 3 2 7.75 AM 30 7.1949 45 1 18.25 96947 
24 142 7 2 19.625 PM 15 5.0251 45 1 18.25 96947 
142 215 6 4 21.5 PM 60 8.9945 45 1 18.25 96947 
215 215 2 1 6.292 AM 5 0 14 1 18.25 82342 
215 215 6 1 12.542 MD 5 0 14 1 18.25 82342 
215 215 2 1 12.042 MD 5 0 11 2 18.25 49610 
215 215 6 1 17.042 PM 5 0 11 2 18.25 49610 
215 77 1 4 5.33 AM 40 10.4914 39 2 18.25 20957 
77 12 7 2 4.75 AM 30 4.6308 39 2 18.25 20957 
12 215 6 2 5.75 AM 30 5.8606 39 2 18.25 20957 
215 287 1 3 7.25 AM 30 14.0618 22 2 18.25 29246 
287 231 2 3 17.50 PM 60 18.0838 22 2 38.33 29246 
231 215 6 3 21.25 PM 30 4.5806 22 2 18.25 29246 
215 231 2 2 17.75 PM 30 4.5806 17 2 18.25 148779 
231 215 6 2 21.25 PM 30 4.5806 17 2 18.25 148779 
215 215 2 1 12.04 MD 5 0 6 2 18.25 149393 
215 215 6 1 16.04 PM 5 0 6 2 18.25 149393 
215 215 1 1 7.04 AM 5 0 45 1 18.25 98779 
215 215 6 1 20.96 PM 5 0 45 1 18.25 98779 
141 151 1 6 8.13 AM 15 1.8336 50 1 41.20 144966 
151 141 6 6 17.50 PM 60 1.8336 50 1 41.20 144966 
141 142 1 1 14.08 MD 10 0.5734 45 2 41.20 22543 
142 141 6 5 0.92 MN 10 0.5734 45 2 41.20 22543 
141 79 2 2 7.50 AM 60 6.8478 23 2 41.20 129459 
79 141 6 2 11.50 MD 60 6.8478 23 2 41.20 129459 
141 79 2 2 19.50 PM 60 6.8478 23 2 41.20 129459 
79 141 6 2 21.63 PM 45 6.8478 23 2 41.20 129459 
365 76 1 2 12.5 MD 60 9.7382 29 2 32.75589793 41851 
76 365 6 2 18.25 PM 30 9.7382 29 2 32.75589793 41851 
136 151 7 3 10.13 MD 15 1.4727 32 2 59.25 12129 
151 136 6 3 12.88 MD 15 1.4727 32 2 59.25 12129 
215 6 1 4 6.25 AM 30 6.7283 48 1 16.97 32925 
6 215 6 4 17.75 PM 30 6.7283 48 1 17.34 32925 
215 215 1 3 5.21 AM 25 0 22 2 18.25 70937 
215 265 5 2 15.17 MD 20 2.4356 22 2 18.25 70937 
265 215 6 2 18.58 PM 50 2.4356 22 2 18.25 70937 
215 262 2 1 6.71 AM 25 0.5968 10 2 18.25 3088 
262 215 6 1 12.21 MD 25 0.5968 10 2 18.25 3088 
215 215 7 6 6.542 AM 5 0 71 1 18.25 87574 
215 262 1 6 8.083 AM 10 0.5968 71 1 18.25 87574 
262 215 6 6 18.915 PM 10.2 0.5968 71 1 18.25 87574 
215 262 2 1 10.167 MD 20 0.5968 18 2 18.25 86351 
262 215 6 1 18.585 PM 19.8 0.5968 18 2 18.25 86351 
215 262 2 1 13.417 MD 20 0.5968 13 2 18.25 58843 
262 215 6 1 18.585 PM 19.8 0.5968 13 2 18.25 58843 
215 262 2 1 12.167 MD 20 0.5968 10 2 18.25 36915 
262 215 6 1 17.167 PM 20 0.5968 10 2 18.25 36915 
140 133 1 1 5.667 AM 20 1.6575 34 1 43.13392102 125477 
133 140 6 1 18.835 PM 19.8 1.6575 34 1 43.13392102 125477 
140 9 1 2 7.25 AM 30 6.6521 33 2 43.13392102 93783 
9 140 6 2 18.25 PM 30 6.6521 33 2 38.82052892 93783 
140 151 2 1 11.75 MD 30 2.1575 10 2 43.13392102 111257 
151 140 6 1 17.418 PM 29.8 2.1575 10 2 43.13392102 111257 
140 141 2 1 6.498 AM 20.2 0.4499 8 1 43.13392102 76426 
141 140 6 1 11.917 MD 20 0.4499 8 1 43.13392102 76426 
140 320 1 4 6.00 AM 60 10.8876 30 1 51.76 68411 
320 140 6 4 18.50 PM 60 10.8876 30 1 46.84 68411 
140 142 7 2 9.25 AM 30 1.0231 25 2 43.13 130896 
142 140 6 2 15.75 MD 30 1.0231 25 2 43.13 130896 
140 140 2 1 6.92 AM 10 0 7 1 43.13 55380 
140 140 6 1 12.08 MD 10 0 7 1 43.13 55380 
140 161 1 2 18.25 PM 30 3.5042 36 1 43.13392102 82061 
161 140 6 5 4.25 AM 30 3.5042 36 1 43.13392102 82061 
140 1 1 2 7.665 AM 40.2 6.2463 37 2 43.13392102 58429 
1 140 6 2 16.333 PM 40 6.2463 37 2 43.13392102 58429 
140 127 2 1 6.167 AM 20 4.3516 17 1 43.13392102 59069 
127 140 6 1 12.667 MD 20 4.3516 17 1 43.13392102 59069 
140 127 2 1 6.167 AM 20 4.3516 16 1 43.13392102 42942 
127 140 6 1 12.667 MD 20 4.3516 16 1 43.13392102 42942 
140 127 2 1 6.167 AM 20 4.3516 15 1 43.13392102 51400 
127 140 6 1 12.667 MD 20 4.3516 15 1 43.13392102 51400 
140 151 2 1 6.167 AM 20 2.1575 13 2 43.13392102 135489 
151 140 6 1 12.667 MD 20 2.1575 13 2 43.13392102 135489 
140 71 1 4 6.25 AM 30 8.8964 51 1 40.11454655 80366 
71 140 6 4 22.75 MN 30 8.8964 51 1 43.13392102 80366 
140 170 1 4 7.333 AM 40 4.1361 49 2 40.11454655 49604 
170 140 6 4 18.333 PM 40 4.1361 49 2 40.97722497 49604 
140 13 2 4 5.75 AM 30 6.8274 20 2 43.13392102 62674 
13 140 6 4 16.25 PM 30 6.8274 20 2 43.13392102 62674 
140 116 1 6 5 AM 30 2.7433 24 2 43.13392102 64206 
116 140 6 6 13.75 MD 30 2.7433 24 2 43.13392102 64206 
140 18 1 2 5.75 AM 30 5.6487 29 2 43.13392102 123495 
18 140 6 2 20.25 PM 30 5.6487 29 2 43.13392102 123495 
140 18 1 2 5.75 AM 30 5.6487 31 2 43.13392102 39574 
18 140 6 2 20.25 PM 30 5.6487 31 2 43.13392102 39574 
140 141 2 1 6.498 AM 20.2 0.4499 7 1 43.13392102 70225 
141 140 6 1 13.335 MD 19.8 0.4499 7 1 43.13392102 70225 
140 141 2 1 6.498 AM 20.2 0.4499 11 1 43.13392102 29178 
141 140 6 1 13.335 MD 19.8 0.4499 11 1 43.13392102 29178 
140 60 1 2 6.5 AM 60 6.4995 34 1 43.13392102 65643 
60 140 6 2 17.5 PM 60 6.4995 34 1 38.82052892 65643 
140 304 1 4 7 AM 90 26.0692 57 2 40.11454655 37368 
304 140 6 4 15.25 MD 90 26.0692 57 2 43.13392102 37368 
140 11 3 2 8.25 AM 30 6.9198 51 1 43.13392102 90512 
11 140 6 2 11.75 MD 30 6.9198 51 1 43.13392102 90512 
140 60 4 2 13.417 MD 50 6.4995 47 2 43.13392102 19812 
60 140 6 4 16.585 PM 49.8 6.4995 47 2 43.13392102 19812 
140 179 2 4 6.333 AM 40 5.5002 23 2 40.11454655 35457 
179 140 6 4 16.665 PM 40.2 5.5002 23 2 43.13392102 35457 
140 130 1 2 6.417 AM 50 3.1079 34 1 43.13392102 133741 
130 140 6 2 18.417 PM 50 3.1079 34 1 43.13392102 133741 
140 136 7 1 8.167 AM 20 0.7211 33 2 43.13392102 115524 
136 140 6 1 13.835 MD 19.8 0.7211 33 2 43.13392102 115524 
140 136 2 1 11.835 MD 19.8 0.7211 11 2 43.13392102 111604 
136 140 6 1 17.417 PM 20 0.7211 11 2 43.13392102 111604 
140 136 2 1 8.167 AM 20 0.7211 7 1 43.13392102 11953 
136 140 6 1 13.835 MD 19.8 0.7211 7 1 43.13392102 11953 
140 133 2 1 12.54 MD 25.2 1.6575 44 1 43.13392102 71876 
133 140 6 1 19.377 PM 24.8 1.6575 44 1 43.13392102 71876 
140 82 1 4 5.75 AM 90 7.7609 41 1 43.13392102 114443 
82 140 6 4 20.25 PM 90 7.7609 41 1 43.13392102 114443 
140 306 1 4 7.333 AM 40 8.8247 58 2 51.76070523 91379 
306 140 6 4 19.165 PM 40.2 8.8247 58 2 43.13392102 91379 
140 387 1 2 6.665 AM 40.2 4.7248 27 2 43.13392102 8337 
387 140 6 2 17.665 PM 40.2 4.7248 27 2 43.13392102 8337 
140 139 2 1 6.167 AM 20 0.9043 15 1 43.13392102 123462 
139 140 6 1 12.917 MD 20 0.9043 15 1 43.13392102 123462 
140 9 2 1 6.04 AM 25.2 6.6521 22 2 43.13392102 45413 
9 140 6 1 14.208 MD 25 6.6521 22 2 43.13392102 45413 
140 136 2 1 12.165 MD 40.2 0.7211 15 1 43.13392102 118309 
136 140 6 1 18.833 PM 40 0.7211 15 1 43.13392102 118309 
140 136 2 1 12.25 MD 30 0.7211 12 1 43.13392102 138545 
136 140 6 1 18.75 PM 30 0.7211 12 1 43.13392102 138545 
140 141 2 1 11.833 MD 10 0.4499 10 1 43.13392102 35555 
141 140 6 1 17.415 PM 10.2 0.4499 10 1 43.13392102 35555 
140 141 2 1 6.583 AM 10 0.4499 7 1 43.13392102 21980 
141 140 6 1 12.002 MD 9.8 0.4499 7 1 43.13392102 21980 
366 366 2 1 6.583 AM 10 0 8 2 32.75589793 108136 
366 366 6 1 12.583 MD 10 0 8 2 32.75589793 108136 
366 366 2 1 7.415 AM 10.2 0 5 1 32.75589793 111553 
366 366 6 1 12.583 MD 10 0 5 1 32.75589793 111553 
140 150 1 6 8.25 AM 30 2.5919 43 1 43.13392102 19118 
150 140 6 6 18.75 PM 30 2.5919 43 1 43.13392102 19118 
140 151 7 2 6.625 AM 15 2.1575 45 2 43.13392102 120948 
151 140 6 2 17.25 PM 30 2.1575 45 2 43.13392102 120948 
140 136 2 1 5.915 AM 10.2 0.7211 14 1 43.13392102 131962 
136 140 6 1 13.083 MD 10 0.7211 14 1 43.13392102 131962 
140 143 1 6 8.25 AM 30 1.2205 38 1 43.13392102 145411 
143 140 6 6 17.75 PM 30 1.2205 38 1 43.13392102 145411 
140 161 1 2 7.25 AM 30 3.5042 40 2 43.13392102 90196 
161 140 6 2 14.75 MD 30 3.5042 40 2 43.13392102 90196 
140 5 1 2 13.75 MD 30 5.7437 23 2 43.13392102 118003 
5 140 6 2 23.25 MN 30 5.7437 23 2 43.13392102 118003 
140 136 2 1 5.75 AM 30 0.7211 19 2 43.13392102 59841 
136 140 6 1 12.25 MD 30 0.7211 19 2 43.13392102 59841 
140 136 2 1 5.75 AM 30 0.7211 16 2 43.13392102 50013 
136 140 6 1 12.25 MD 30 0.7211 16 2 43.13392102 50013 
140 136 2 1 5.75 AM 30 0.7211 15 2 43.13392102 31227 
136 140 6 1 12.25 MD 30 0.7211 15 2 43.13392102 31227 
140 136 2 1 11.75 MD 30 0.7211 10 2 43.13392102 48916 
136 140 6 1 17.25 PM 30 0.7211 10 2 43.13392102 48916 
140 78 1 2 8.917 AM 50 7.1067 37 2 43.13392102 106126 
78 140 6 2 18.585 PM 49.8 7.1067 37 2 38.82052892 106126 
140 10 1 2 7.75 AM 30 6.4504 18 1 43.13392102 27681 
10 140 6 2 19.165 PM 40.2 6.4504 18 1 43.13392102 27681 
140 140 2 1 11.667 MD 20 0 13 1 43.13392102 15898 
140 140 6 1 18.335 PM 19.8 0 13 1 43.13392102 15898 
140 136 2 1 11.667 MD 20 0.7211 12 1 43.13392102 127909 
136 140 6 1 17.335 PM 19.8 0.7211 12 1 43.13392102 127909 
140 69 1 4 6.08 AM 70 8.6264 50 1 40.11 111576 
69 140 6 4 18.29 PM 65 8.6264 50 1 40.98 111576 
140 151 7 1 13.50 MD 60 2.1575 48 2 43.13 19910 
151 140 6 1 17.50 PM 60 2.1575 48 2 43.13 19910 
140 141 2 1 11.75 MD 10 0.4499 8 2 43.13 142489 
141 140 6 1 17.08 PM 10 0.4499 8 2 43.13 142489 
140 141 2 1 6.58 AM 10 0.4499 8 1 43.13 23811 
364 12 1 2 8.25 AM 30 5.1707 42 1 71.02093945 66805 
12 364 6 2 20.75 PM 30 5.1707 42 1 71.02093945 66805 
364 339 1 2 13.083 MD 70 28.1706 20 2 71.02093945 9790 
339 364 6 2 22.5 MN 60 28.1706 20 2 71.02093945 9790 
364 353 2 1 11.25 MD 30 0.5703 18 2 71.02093945 40460 
354 364 6 1 16.125 PM 15 0.4056 18 2 71.02093945 40460 
216 312 1 4 19.5 PM 60 15.5356 30 1 41.84010417 107594 
312 216 6 4 6.75 AM 90 15.5356 30 1 38.07449479 107594 
216 216 2 1 11.083 MD 10 0 7 2 41.84010417 38209 
216 216 6 1 16.915 PM 10.2 0 7 2 41.84010417 38209 
216 216 2 1 11.083 MD 10 0 6 1 41.84010417 32224 
216 216 6 1 16.915 PM 10.2 0 6 1 41.84010417 32224 
216 15 1 2 20.17 PM 20 4.836 45 1 41.84 26396 
15 216 6 2 9.17 AM 20 4.836 45 1 41.84 26396 
216 262 7 1 6.63 AM 15 0.6986 52 2 41.84 78818 
262 262 1 1 7.13 AM 15 0 52 2 41.84 78818 
262 262 7 1 11.88 MD 15 0 52 2 41.84 78818 
262 216 6 1 12.75 MD 30 0.6986 52 2 41.84 78818 
216 215 2 1 6.63 AM 15 0.5328 12 1 41.84 89078 
215 216 6 1 13.00 MD 60 0.5328 12 1 41.84 89078 
216 262 2 1 6.63 AM 15 0.6986 9 2 41.84 23116 
262 216 6 1 12.75 MD 30 0.6986 9 2 41.84 23116 
216 215 2 1 11.63 MD 15 0.5328 8 2 41.84 42467 
215 216 6 1 5.75 AM 30 0.5328 8 2 41.84 42467 
216 18 3 2 6.333 AM 40 5.7911 71 1 41.84010417 107077 
18 216 6 2 7.792 AM 35 5.7911 71 1 41.84010417 107077 
216 359 1 1 8.375 AM 15 0.2507 71 1 41.84010417 107077 
359 216 6 1 16.667 PM 20 0.2507 71 1 41.84010417 107077 
216 359 5 1 10.25 MD 30 0.2507 67 2 41.84010417 131161 
359 216 6 1 13.75 MD 30 0.2507 67 2 41.84010417 131161 
216 241 4 2 14.625 MD 45 3.3959 63 2 41.84010417 12528 
241 216 6 2 16.625 PM 45 3.3959 63 2 41.84010417 12528 
216 318 1 2 3.875 MN 45 17.7073 50 1 41.84010417 59369 
318 216 6 4 15.875 MD 15 17.7073 50 1 41.84010417 59369 
216 44 7 2 6.5 AM 60 7.0184 20 1 41.84010417 1023 
44 216 6 2 10.5 MD 60 7.0184 20 1 41.84010417 1023 
216 359 2 1 12.375 MD 15 0.2507 16 1 41.84010417 46050 
359 216 6 1 18.125 PM 15 0.2507 16 1 41.84010417 46050 
216 235 1 2 10.42 MD 50 4.3501 73 2 41.84 56275 
235 216 6 2 21.58 PM 50 4.3501 73 2 41.84 56275 
216 242 1 2 7.25 AM 30 3.4147 40 2 41.84 132730 
242 216 6 2 20.75 PM 30 3.4147 40 2 41.84 132730 
216 79 1 4 8.42 AM 50 11.0253 25 2 41.84 103937 
79 216 6 4 18.42 PM 50 11.0253 25 2 39.75 103937 
216 79 1 4 5.50 AM 60 11.0253 21 2 41.84 48521 
79 216 6 4 17.50 PM 60 11.0253 21 2 39.75 48521 
216 7 1 2 13.33 MD 40 6.7904 18 1 41.84 1978 
7 216 6 2 17.58 PM 30 6.7904 18 1 41.84 1978 
216 22 7 2 9.833 AM 40 7.211 40 2 41.84010417 123255 
22 216 6 2 13.917 MD 110 7.211 40 2 41.84010417 123255 
216 187 2 2 15.333 MD 100 4.7482 19 2 41.84010417 72319 
187 216 6 2 22.25 MN 90 4.7482 19 2 41.84010417 72319 
216 18 1 2 7.75 AM 30 5.7911 31 1 41.84 22741 
18 216 6 2 19.25 PM 30 5.7911 31 1 41.84 22741 
216 109 1 2 7.92 AM 50 12.5741 30 1 37.66 49141 
109 216 6 2 21.67 PM 40 12.5741 30 1 41.84 49141 
216 329 1 4 6.33 AM 40 13.8733 28 1 50.21 130825 
329 216 6 4 19.17 PM 40 13.8733 28 1 41.84 130825 
216 216 2 1 6.58 AM 20 0 8 2 41.84 35738 
216 216 6 1 11.83 MD 20 0 8 2 41.84 35738 
216 215 4 1 6.708 AM 25 0.5328 56 2 41.84010417 143249 
215 216 6 1 8.835 AM 19.8 0.5328 56 2 41.84010417 143249 
216 215 7 1 12.167 MD 20 0.5328 25 2 41.84010417 76059 
215 216 6 1 13.335 MD 19.8 0.5328 25 2 41.84010417 76059 
216 216 2 1 8.583 AM 10 0 5 1 41.84010417 44059 
216 216 6 1 15.915 MD 10.2 0 5 1 41.84010417 44059 
216 170 1 2 5.167 AM 80 6.1921 38 1 41.84010417 91194 
170 216 6 2 19 PM 60 6.1921 38 1 41.84010417 91194 
216 23 5 2 8.333 AM 40 7.473 40 2 41.84010417 140387 
23 216 6 2 16.998 PM 80.2 7.473 40 2 41.84010417 140387 
216 356 2 1 11.875 MD 15 0.4974 16 2 41.84010417 43487 
356 216 6 1 17.875 PM 15 0.4974 16 2 41.84010417 43487 
216 95 1 4 6 AM 60 13.0129 18 1 38.91129688 54898 
95 216 6 4 21.5 PM 60 13.0129 18 1 41.84010417 54898 
216 356 2 1 11.875 MD 15 0.4974 13 1 41.84010417 21548 
356 216 6 1 17.875 PM 15 0.4974 13 1 41.84010417 21548 
216 356 2 1 11.875 MD 15 0.4974 14 1 41.84010417 40389 
356 216 6 1 17.875 PM 15 0.4974 14 1 41.84010417 40389 
216 229 2 2 5.75 AM 30 3.9828 27 1 41.84 66270 
229 216 6 2 18.25 PM 30 3.9828 27 1 41.84 66270 
